time,system|rainfall,link|P1|flow,link|P2|flow,link|42722|flow,link|20945|flow,link|21854|flow,link|325|flow,link|12660|flow,link|21823|flow,link|20648|flow,link|20647|flow,link|21822|flow,link|21792|flow,link|21796|flow,link|21788|flow,node|J03260054|depth,node|J03262001|depth,node|J03260051|depth,node|J03262031|depth,node|J03260048|depth,node|J03260041|depth,node|J03261014|depth,node|J03260033|depth,node|J03260038|depth,node|J03261009|depth,node|J03235003|depth,node|J03263052|depth,node|J03260029|depth,node|J03260026|depth,node|J03263039|depth,node|J03411080|depth,node|J03263058|depth,node|J03235002|depth,node|J03190142|depth,node|J03190161|depth,node|J03411020|depth,node|J03190164|depth,node|J03380238|depth,node|J03260559|depth,pump|P1|status,pump|P2|status
2026-05-11 00:00:00,0.0,2.0,44.1,-38.434364,31.51683,19.993582,19.989412,18.935732,18.935728,18.935675,18.93558,18.935709,18.935333,18.934778,18.859365,1.216783,1.1468096,1.116824,1.0467716,1.0167719,0.8868397,0.67631334,0.6765831,0.6667531,0.65634394,1.3165572,1.3124202,0.5866936,0.5766818,1.2624202,1.2324507,1.2224205,1.2165515,1.0998565,1.0911961,1.072444,1.071187,1.0612042,1.0522963,1,1
2026-05-11 00:10:00,0.0,2.0,44.1,-38.434364,32.196014,20.718582,20.787434,18.878096,18.880264,18.885735,18.892021,18.88254,18.901917,18.912027,18.93565,1.2219936,1.1523671,1.1218616,1.0521766,1.0220481,0.89252794,0.6826676,0.6826653,0.6726921,0.66270465,1.3160354,1.312237,0.59285706,0.58285147,1.2622391,1.2322718,1.2222348,1.2160393,1.0998489,1.0911964,1.0722941,1.0711905,1.0612253,1.0522228,1,1
2026-05-11 00:20:00,0.0,2.0,44.1,-38.434364,32.95455,21.515514,21.500704,18.833847,18.840736,18.847446,18.850729,18.844421,18.853745,18.85668,18.881626,1.2283894,1.1587447,1.1283984,1.0587149,1.0286367,0.8987637,0.6880985,0.6888582,0.6787834,0.66814107,1.3160175,1.3122214,0.5989488,0.5885453,1.2622194,1.2322522,1.2222234,1.2160251,1.099808,1.0909749,1.0722586,1.0709816,1.0609528,1.0519375,1,1
2026-05-11 00:30:00,0.0,4.0,44.1,-38.434364,32.93866,21.50607,21.492403,18.71219,18.720871,18.737114,18.747417,18.72897,18.759436,18.771847,18.837023,1.2339141,1.1641629,1.1340058,1.0639542,1.0339491,0.90434545,0.69446,0.69470364,0.68458456,0.6744761,1.316021,1.3121651,0.6046785,0.5946326,1.2621642,1.2322048,1.2221667,1.2160232,1.0998017,1.0908496,1.0721937,1.0708514,1.0608392,1.0518314,1,1
2026-05-11 00:40:00,0.0,2.0,44.1,-38.434364,32.825706,21.43529,21.428434,18.679678,18.680468,18.682404,18.683792,18.681395,18.68575,18.688263,18.723083,1.2403024,1.1703894,1.1403717,1.0702263,1.0402415,0.91054153,0.70016605,0.70066,0.6906553,0.6801661,1.3160197,1.3121102,0.61043704,0.6004265,1.262109,1.2321409,1.2221118,1.2160146,1.0997734,1.090669,1.0721242,1.0706401,1.0607196,1.0518241,1,1
2026-05-11 00:50:00,0.0,2.0,44.1,-38.434364,32.699406,21.359138,21.376057,18.677382,18.677399,18.677502,18.677584,18.677439,18.67769,18.677841,18.680866,1.2460296,1.1761397,1.1460158,1.0761242,1.0460867,0.91614836,0.7062832,0.70641905,0.6963286,0.6862432,1.3160199,1.3120853,0.6165358,0.6063567,1.2620889,1.2321048,1.2220815,1.2160167,1.0997493,1.090767,1.0721292,1.0707681,1.0607626,1.0518239,1,1
2026-05-11 01:00:00,0.0,4.0,44.1,-38.434364,32.586723,21.268599,21.291368,18.677244,18.677256,18.677258,18.677265,18.677258,18.677269,18.677275,18.677423,1.2519765,1.1821597,1.1518978,1.0821413,1.0520549,0.9221712,0.712184,0.7124559,0.70217,0.6922002,1.3160224,1.3120741,0.6224153,0.6122124,1.2620732,1.2320827,1.2220751,1.216027,1.09974,1.0908083,1.0721025,1.0708125,1.0607795,1.0518277,1,1
2026-05-11 01:10:00,0.0,4.0,44.1,-38.434364,32.534763,21.234926,21.247305,18.64852,18.649534,18.652252,18.655449,18.650648,18.660511,18.666067,18.677233,1.2580018,1.1882468,1.1580601,1.0882249,1.0581834,0.9282527,0.7178749,0.7183041,0.7083216,0.69787544,1.3157617,1.3119904,0.6282532,0.6180401,1.261986,1.2320223,1.221995,1.2157652,1.099734,1.0907596,1.0720314,1.0707637,1.0607315,1.051791,1,1
2026-05-11 01:20:00,0.0,2.0,44.1,-38.434364,32.487198,21.229189,21.259407,18.626972,18.630142,18.633505,18.634834,18.632078,18.636213,18.637766,18.65003,1.2632478,1.1937037,1.1634368,1.0935612,1.0635264,0.9338288,0.72408885,0.7240552,0.71405077,0.70408154,1.3157508,1.311973,0.6341495,0.62417823,1.2619696,1.2320178,1.2219771,1.2157468,1.0997128,1.0906074,1.071998,1.0706037,1.0606333,1.0516417,1,1
2026-05-11 01:30:00,0.0,4.0,44.1,-38.434364,32.474663,21.219023,21.226353,18.56627,18.570593,18.578896,18.584124,18.574701,18.59015,18.596497,18.628813,1.2701313,1.2001737,1.1701968,1.1001257,1.0701482,0.9402111,0.729434,0.7302153,0.7202971,0.7094451,1.3157517,1.311937,0.64017636,0.62983733,1.2619393,1.2319648,1.2219348,1.2157506,1.0997096,1.0905746,1.0719694,1.0705769,1.0605644,1.0515954,1,1
2026-05-11 01:40:00,0.0,2.0,44.1,-38.434364,32.422405,21.19376,21.206858,18.549307,18.549746,18.550718,18.551445,18.550207,18.552443,18.553705,18.571867,1.275005,1.2054491,1.1750351,1.1053145,1.0752232,0.94555944,0.73603773,0.73590034,0.72571856,0.71607023,1.3157512,1.3118956,0.6460695,0.6361062,1.2618953,1.2319247,1.2218959,1.2157533,1.0996957,1.0904707,1.0719392,1.0704992,1.0604867,1.0515895,1,1
2026-05-11 01:50:00,0.0,2.0,44.1,-38.434364,32.364265,21.157888,21.168175,18.548042,18.548065,18.54811,18.548147,18.548086,18.548206,18.548285,18.549927,1.2822535,1.2121671,1.1821705,1.1122516,1.0822384,0.9520871,0.7414616,0.74202037,0.7319553,0.72145814,1.3157548,1.3118992,0.6519063,0.64168257,1.2618946,1.2319326,1.221904,1.2157507,1.0996834,1.0905523,1.0719242,1.0705539,1.0605435,1.0515884,1,1
2026-05-11 02:00:00,0.0,2.0,44.1,-38.434364,32.303623,21.114647,21.14431,18.547932,18.547943,18.547949,18.547949,18.547949,18.547949,18.547955,18.54807,1.2875667,1.2175827,1.1876098,1.1176684,1.0876817,0.9574977,0.74809885,0.7476167,0.7375908,0.72809184,1.315752,1.3118953,0.65769416,0.6478123,1.2618942,1.231922,1.2218965,1.2157502,1.0996784,1.0904907,1.0719253,1.0704894,1.0605172,1.0515888,1,1
2026-05-11 02:10:00,0.0,2.0,44.1,-38.434364,32.269997,21.080189,21.06796,18.519266,18.520258,18.522964,18.526173,18.521362,18.531254,18.536018,18.547924,1.2940673,1.2238224,1.1940863,1.1238722,1.0939441,0.96377605,0.7539826,0.7536125,0.7437281,0.733926,1.3154914,1.3117973,0.6636549,0.6537066,1.2617983,1.2318248,1.2217962,1.2154897,1.0996739,1.0905931,1.0718367,1.0706029,1.0605413,1.0515572,1,1
2026-05-11 02:20:00,0.0,2.0,44.1,-38.434364,32.23283,21.092634,21.079515,18.497982,18.501064,18.504354,18.505672,18.502953,18.507053,18.508612,18.520823,1.2999605,1.2299848,1.2000082,1.1299304,1.0999447,0.97002745,0.75967497,0.7598936,0.75000733,0.7396905,1.3154818,1.3117775,0.66984195,0.6597647,1.2617779,1.2317997,1.2217772,1.2154802,1.0996531,1.0904168,1.0718206,1.0704398,1.060433,1.0514091,1,1
2026-05-11 02:30:00,0.0,4.0,44.1,-38.434364,32.204292,21.072145,21.090038,18.437672,18.44209,18.450531,18.455788,18.446276,18.4618,18.468035,18.499802,1.3051219,1.2355962,1.2052323,1.1355127,1.1054333,0.97566557,0.7659798,0.7659202,0.7558237,0.7459967,1.3154776,1.3117484,0.6760669,0.66603684,1.261746,1.2317727,1.221751,1.2154821,1.0996498,1.0902607,1.0717736,1.0702574,1.0602834,1.0513483,1,1
2026-05-11 02:40:00,0.0,2.0,44.1,-38.434364,32.147957,21.040186,21.080685,18.420004,18.420485,18.421562,18.422344,18.420998,18.423391,18.4247,18.443455,1.3124529,1.2421715,1.2123493,1.1422763,1.1122986,0.98207194,0.77167356,0.77179396,0.7619662,0.7516923,1.3154824,1.3117212,0.68171763,0.67183185,1.2617182,1.2317529,1.2217245,1.2154814,1.0996361,1.0902966,1.0717484,1.0702937,1.0603207,1.0513477,1,1
2026-05-11 02:50:00,0.0,4.0,44.1,-38.434364,32.104492,21.023985,21.006037,18.418697,18.418713,18.418762,18.418812,18.418734,18.418884,18.418978,18.420696,1.3178056,1.2478307,1.2177941,1.1478586,1.1178439,0.9877967,0.77814674,0.77786887,0.76786226,0.75812125,1.315483,1.3117054,0.6878979,0.67795146,1.2617074,1.2317348,1.2217038,1.2154801,1.0996236,1.090283,1.071734,1.0702821,1.0602914,1.0513499,1,1
2026-05-11 03:00:00,0.0,2.0,44.1,-38.434364,32.042374,20.967886,20.984509,18.418592,18.418594,18.418606,18.418617,18.4186,18.41863,18.41865,18.41873,1.3237666,1.2540464,1.223833,1.1539602,1.1239147,0.9941183,0.784091,0.7843047,0.77417004,0.76408917,1.3154823,1.3116937,0.69425696,0.68421435,1.2616951,1.2317058,1.2216923,1.215489,1.0996188,1.0903195,1.0717202,1.0703218,1.0603063,1.0513508,1,1
2026-05-11 03:10:00,0.0,2.0,44.1,-38.434364,32.02287,20.944849,20.96932,18.418634,18.418629,18.418627,18.418623,18.418629,18.418621,18.41862,18.418602,1.3307765,1.2605233,1.230786,1.1606463,1.1306982,1.0004095,0.79015684,0.7901636,0.7803252,0.77017325,1.3154811,1.3116877,0.7000578,0.69018346,1.2616891,1.231708,1.2216867,1.2154884,1.0996171,1.0903103,1.071719,1.0703193,1.060308,1.0513394,1,1
2026-05-11 03:20:00,0.0,2.0,44.1,-38.434364,32.024113,20.951792,20.976475,18.418629,18.418613,18.418594,18.41859,18.418602,18.418592,18.418604,18.418634,1.3361834,1.2665431,1.2362599,1.1664706,1.1363977,1.006601,0.7968327,0.79688114,0.78668404,0.7768829,1.315486,1.3116875,0.70689714,0.6969495,1.2616858,1.2317245,1.2216895,1.2154806,1.0996166,1.0902543,1.0717232,1.0702522,1.060279,1.0513544,1,1
2026-05-11 03:30:00,0.0,4.0,44.1,-38.434364,32.017056,20.950895,20.984533,18.418627,18.418608,18.41861,18.41862,18.418604,18.418623,18.418623,18.418612,1.3433828,1.273242,1.2433925,1.173299,1.1433294,1.0131915,0.8034038,0.8031303,0.7931362,0.7834242,1.3154815,1.3116933,0.7131682,0.70325834,1.261691,1.2317374,1.2216957,1.2154807,1.0996165,1.0902845,1.0717034,1.0702807,1.0603064,1.0513494,1,1
2026-05-11 03:40:00,0.0,4.0,44.1,-38.434364,32.02271,20.954725,20.95989,18.418608,18.418623,18.418633,18.418634,18.418629,18.418627,18.418613,18.418617,1.3502611,1.280216,1.250256,1.1802198,1.1502326,1.0202076,0.8097278,0.81017095,0.8001882,0.78971946,1.3154827,1.3116922,0.7201525,0.70992893,1.2616909,1.231723,1.2216934,1.2154822,1.0996165,1.0902985,1.0717142,1.0703001,1.0602858,1.051348,1,1
2026-05-11 03:50:00,0.0,2.0,44.1,-38.434364,32.018414,20.945568,20.976702,18.418621,18.418633,18.418646,18.418646,18.418642,18.418642,18.418634,18.418617,1.3564323,1.286557,1.2564439,1.1865231,1.1565033,1.0265814,0.8168429,0.81665313,0.80660564,0.796817,1.3154823,1.3116918,0.7266904,0.7168074,1.2616906,1.2317132,1.2216932,1.2154876,1.0996165,1.0903453,1.0717163,1.0703489,1.0603213,1.0513424,1,1
2026-05-11 04:00:00,0.0,2.0,44.1,-38.434364,32.024345,20.946394,20.95692,18.418589,18.418592,18.4186,18.418602,18.418598,18.418602,18.418602,18.41863,1.3634291,1.2933387,1.2634066,1.1933446,1.1633605,1.0333306,0.82371575,0.8233654,0.81334144,0.80371267,1.3154826,1.31169,0.7333702,0.72351027,1.2616892,1.2316971,1.2216909,1.2154802,1.0996164,1.0902375,1.0717196,1.0702314,1.0602683,1.0513443,1,1
2026-05-11 04:10:00,0.0,2.0,44.1,-38.434364,32.07902,20.992767,21.024265,18.475914,18.47401,18.46865,18.462215,18.471844,18.451973,18.440691,18.41864,1.370829,1.300844,1.2708259,1.2008885,1.1708817,1.0408002,0.83042383,0.83070993,0.82073796,0.8104378,1.3160133,1.3118677,0.7406501,0.73055154,1.2618642,1.2318743,1.2218716,1.2160151,1.0996226,1.0902902,1.071883,1.0702883,1.0603137,1.0514199,1,1
2026-05-11 04:20:00,0.0,2.0,44.1,-38.434364,32.160076,20.992838,21.028204,18.518469,18.512321,18.505783,18.503155,18.508564,18.500374,18.497213,18.473036,1.3778446,1.307912,1.2778431,1.2078724,1.1778594,1.047941,0.8377569,0.838055,0.82798654,0.81774855,1.3160236,1.3118962,0.7479987,0.73788977,1.2618896,1.2319341,1.2219032,1.2160226,1.0996637,1.0905322,1.0719191,1.0705287,1.060551,1.0517058,1,1
2026-05-11 04:30:00,0.0,2.0,44.1,-38.434364,32.186565,21.02044,21.057522,18.640436,18.631588,18.61454,18.60385,18.623148,18.591547,18.578829,18.514784,1.3848233,1.3150431,1.2848768,1.2149734,1.1849439,1.0550992,0.84541905,0.84520483,0.83516496,0.82539576,1.316022,1.3119582,0.7552368,0.7453726,1.2619586,1.2319896,1.2219578,1.2160211,1.0996695,1.0907385,1.0719628,1.0707241,1.0606787,1.051816,1,1
2026-05-11 04:40:00,0.0,2.0,44.1,-38.434364,32.30657,21.092154,21.105934,18.67474,18.673893,18.671942,18.67047,18.672976,18.668459,18.665926,18.629663,1.3928728,1.3227788,1.2928168,1.2227838,1.1927888,1.0627719,0.85287404,0.8527431,0.8427602,0.8328313,1.3160224,1.312017,0.7627792,0.75277394,1.2620193,1.23204,1.2220148,1.2160151,1.0996976,1.0907645,1.0720502,1.0707642,1.0607709,1.0518235,1,1
2026-05-11 04:50:00,0.0,4.0,44.1,-38.434364,32.43078,21.172594,21.175726,18.677137,18.677097,18.676994,18.676912,18.67705,18.676796,18.676641,18.673513,1.4009479,1.330831,1.3009416,1.2308939,1.2009169,1.0707713,0.8604685,0.8605819,0.850688,0.8404743,1.3160223,1.3120389,0.77055436,0.76052403,1.2620384,1.2320707,1.2220398,1.2160187,1.0997224,1.0907025,1.0720723,1.0706991,1.0607263,1.0518237,1,1
2026-05-11 05:00:00,0.0,4.0,44.1,-38.434364,32.55561,21.261206,21.237125,18.677244,18.677244,18.67724,18.677237,18.677242,18.677233,18.677225,18.677074,1.408499,1.3385909,1.3085527,1.238575,1.2085718,1.0785983,0.8685874,0.8685709,0.8586013,0.84859395,1.3160186,1.3120573,0.778594,0.7686153,1.2620555,1.2320865,1.2220595,1.2160178,1.0997322,1.0907904,1.0720927,1.0707967,1.0607514,1.0518239,1,1
2026-05-11 05:10:00,0.0,2.0,44.1,-38.434364,32.65886,21.33408,21.33042,18.763489,18.76042,18.752377,18.742876,18.757116,18.727667,18.71077,18.677305,1.4165262,1.3467556,1.3165663,1.2466656,1.2166377,1.0868295,0.87712306,0.8770176,0.8669274,0.857151,1.3168036,1.3123279,0.78709555,0.77714217,1.2623234,1.2323233,1.222332,1.2168005,1.0997442,1.0907891,1.0723389,1.0707917,1.0607783,1.0519346,1,1
2026-05-11 05:20:00,0.0,2.0,44.1,-38.434364,32.767555,21.323193,21.367594,18.829428,18.81955,18.809074,18.804976,18.813509,18.80077,18.796078,18.759243,1.4256476,1.3557047,1.3256403,1.2556844,1.2256815,1.0957192,0.8856062,0.885762,0.87574154,0.86562765,1.3168203,1.3123496,0.795748,0.78570837,1.262348,1.2323644,1.2223512,1.2168267,1.0998063,1.0909985,1.0723833,1.0709931,1.0610445,1.0523645,1,1
2026-05-11 05:30:00,0.0,4.0,44.1,-38.434364,32.80874,21.35569,21.410088,19.013754,19.001087,18.97642,18.96076,18.98891,18.942553,18.923512,18.823774,1.4349028,1.364725,1.3348732,1.2647948,1.2348316,1.1046585,0.89435893,0.8945003,0.8845777,0.8743945,1.3168187,1.3124343,0.8044635,0.7944181,1.2624322,1.2324576,1.2224367,1.2168223,1.0998156,1.0913469,1.0724686,1.0713412,1.0613906,1.0525213,1,1
2026-05-11 05:40:00,0.0,2.0,44.1,-38.434364,32.98733,21.46662,21.496204,19.061825,19.06069,19.058119,19.056116,19.059465,19.053335,19.049816,18.998579,1.4436498,1.3735613,1.3436211,1.2735789,1.2435957,1.113539,0.90362847,0.9034979,0.8935161,0.88359886,1.3168224,1.3125303,0.813507,0.8035223,1.2625283,1.2325684,1.2225329,1.2168175,1.0998584,1.0914266,1.0725582,1.0714289,1.0614142,1.0525312,1,1
2026-05-11 05:50:00,0.0,4.0,44.1,-38.434364,33.183865,21.593388,21.591387,19.064974,19.06492,19.064795,19.064693,19.064861,19.064547,19.064348,19.060247,1.4524215,1.3826153,1.3524413,1.282526,1.2524948,1.1226877,0.9129233,0.9128637,0.90278083,0.89293015,1.3168217,1.31256,0.82290775,0.81291854,1.262561,1.232594,1.2225593,1.2168216,1.0998945,1.0914146,1.0725935,1.0714005,1.0613918,1.0525316,1,1
2026-05-11 06:00:00,0.0,4.0,44.1,-38.434364,33.359753,21.724133,21.691717,19.063879,19.064722,19.065083,19.065092,19.065012,19.065088,19.06508,19.064896,1.4619901,1.3920367,1.3619957,1.2920114,1.2620041,1.1320544,0.9222278,0.9221072,0.91208017,0.9022123,1.3168207,1.3125701,0.83213603,0.8221832,1.2625715,1.2325959,1.2225684,1.2168242,1.0999081,1.0915078,1.07262,1.0715076,1.0614793,1.0525317,1,1
2026-05-11 06:10:00,0.0,2.0,44.1,-38.434364,33.505085,21.841509,21.85451,19.180437,19.176094,19.166159,19.153793,19.171993,19.133917,19.111425,19.064901,1.4721864,1.4021076,1.3721892,1.3021333,1.272149,1.1420798,0.93203014,0.9320162,0.92204785,0.9120461,1.317822,1.3129264,0.84202975,0.83203375,1.2629225,1.2329191,1.2229303,1.2178259,1.099925,1.0914466,1.0729215,1.0714624,1.0614111,1.0526794,1,1
2026-05-11 06:20:00,0.0,4.0,44.1,-38.434364,33.681694,21.858774,21.839241,19.272203,19.257786,19.242895,19.237122,19.249083,19.231441,19.22532,19.175507,1.4825972,1.4125648,1.3825893,1.3125842,1.2825975,1.1525408,0.94217145,0.94247186,0.9325114,0.9222001,1.3178421,1.3129652,0.8523983,0.8423017,1.2629619,1.2330124,1.2229689,1.2178437,1.1000067,1.0919387,1.0729884,1.0719404,1.0619117,1.0532652,1,1
