time,system|rainfall,link|P1|flow,link|P2|flow,link|42722|flow,link|20945|flow,link|21854|flow,link|325|flow,link|12660|flow,link|21823|flow,link|20648|flow,link|20647|flow,link|21822|flow,link|21792|flow,link|21796|flow,link|21788|flow,node|J03260054|depth,node|J03262001|depth,node|J03260051|depth,node|J03262031|depth,node|J03260048|depth,node|J03260041|depth,node|J03261014|depth,node|J03260033|depth,node|J03260038|depth,node|J03261009|depth,node|J03235003|depth,node|J03263052|depth,node|J03260029|depth,node|J03260026|depth,node|J03263039|depth,node|J03411080|depth,node|J03263058|depth,node|J03235002|depth,node|J03190142|depth,node|J03190161|depth,node|J03411020|depth,node|J03190164|depth,node|J03380238|depth,node|J03260559|depth,pump|P1|status,pump|P2|status
2026-05-11 00:00:00,0.0,2.0,57.75,-48.982887,37.387318,25.603483,25.589169,22.907593,22.92411,22.987307,23.021511,22.947138,22.909136,22.809002,22.888788,1.9236798,1.8527619,1.8236853,1.751467,1.7226427,1.5926422,1.3823249,1.3829005,1.3729424,1.3623576,1.3172461,1.3129342,1.2927889,1.2825685,1.2629372,1.2329447,1.2228482,1.2172405,1.0999862,1.0917445,1.072981,1.0717461,1.0617406,1.0529143,1,1
2026-05-11 00:10:00,0.0,2.0,57.75,-48.847717,37.395718,25.608822,25.5857,22.938686,23.018494,22.884178,22.70553,23.042788,22.756647,22.838879,22.841864,1.9237659,1.8529178,1.8223703,1.7518178,1.7215341,1.5925905,1.3827711,1.3827181,1.3727787,1.3627527,1.3172395,1.3129269,1.29266,1.2826729,1.2628974,1.2330457,1.2230157,1.2172339,1.0999861,1.0916994,1.0729947,1.0717248,1.0617181,1.0529122,1,1
2026-05-11 00:20:00,0.0,4.0,57.75,-49.11054,37.37953,25.585426,25.577492,23.326277,22.717691,22.786278,22.901127,22.595139,22.951145,22.986519,22.908352,1.9220854,1.8528457,1.8237773,1.7526484,1.7220767,1.5926825,1.3831402,1.3826942,1.3724978,1.3631195,1.3172365,1.3129182,1.2928516,1.2830056,1.2629039,1.2329783,1.2228657,1.2172418,1.0999857,1.0917265,1.0730126,1.0717095,1.0617507,1.0529128,1,1
2026-05-11 00:30:00,0.0,2.0,57.75,-48.922314,37.36026,25.572523,25.585972,22.892185,22.906551,22.949535,23.00426,22.926008,22.970707,22.854904,22.907337,1.9238697,1.852738,1.823569,1.7513844,1.722681,1.5926157,1.3824264,1.3827939,1.3729467,1.3624341,1.3172319,1.3129121,1.2927125,1.2825613,1.2629039,1.2330176,1.2229745,1.2172359,1.0999855,1.0917411,1.0730036,1.0717459,1.0617168,1.0529093,1,1
2026-05-11 00:40:00,0.0,4.0,57.75,-48.725067,37.363205,25.58391,25.599325,22.925858,22.962889,23.001814,22.80199,23.015995,22.742538,22.788342,22.832523,1.9237812,1.852888,1.8220402,1.7522827,1.721498,1.5925853,1.3827934,1.3827041,1.3727417,1.3627805,1.317233,1.312926,1.2926652,1.2826968,1.2629,1.232996,1.2229102,1.2172331,1.0999848,1.0917295,1.0729725,1.0717301,1.0617198,1.0529033,1,1
2026-05-11 00:50:00,0.0,4.0,57.75,-49.094425,37.358967,25.576054,25.594812,23.011541,23.018862,22.644876,22.804932,22.700932,22.877918,22.939089,22.874653,1.9222078,1.8528397,1.8237426,1.7524388,1.722073,1.592656,1.3831016,1.3826969,1.372486,1.3630687,1.3172293,1.3128992,1.2928637,1.282958,1.2629193,1.2328963,1.2229284,1.2172295,1.099985,1.0917816,1.0729367,1.071782,1.0617819,1.052908,1,1
2026-05-11 01:00:00,0.0,2.0,57.75,-48.755806,37.350334,25.57026,25.59935,21.874117,22.681028,22.921196,22.958788,22.899796,22.993029,22.928833,22.92135,1.9241823,1.8527062,1.823237,1.7514943,1.7227018,1.592592,1.3823384,1.3827931,1.3729397,1.3623326,1.317224,1.3129061,1.292661,1.2825109,1.2629067,1.2329173,1.2228819,1.2172276,1.0999849,1.091679,1.0729041,1.0716761,1.0616993,1.0529028,1,1
2026-05-11 01:10:00,0.0,2.0,57.75,-48.659782,37.3618,25.584742,25.599081,22.902834,22.924183,23.013796,22.9459,22.959188,22.790333,22.765682,22.84235,1.9236773,1.8528718,1.8219384,1.7525815,1.7214338,1.5925789,1.3826447,1.3827244,1.3727012,1.3626554,1.3172208,1.3129103,1.2927251,1.2827066,1.2629167,1.2328914,1.222917,1.2172225,1.0999843,1.0917562,1.0729082,1.0717587,1.0617355,1.0528986,1,1
2026-05-11 01:20:00,0.0,4.0,57.75,-49.041386,37.363403,25.577446,25.581608,22.942856,23.062025,22.683737,22.69166,22.929422,22.801195,22.881788,22.840433,1.922501,1.8528341,1.8235035,1.7522532,1.722068,1.5926257,1.3829849,1.3826665,1.3724859,1.3629996,1.3172199,1.3128871,1.2928287,1.2829618,1.2629261,1.2328405,1.222879,1.2172235,1.0999842,1.0917559,1.0728556,1.0717567,1.0617505,1.0528983,1,1
2026-05-11 01:30:00,0.0,4.0,57.75,-48.639824,37.353848,25.574316,25.572687,22.92651,22.476751,22.880976,22.921717,22.724394,22.96791,22.967665,22.913702,1.9243131,1.8526781,1.8230615,1.7516075,1.7227023,1.5925729,1.3822612,1.3827919,1.3729347,1.3623109,1.3172182,1.3128973,1.2926382,1.2825022,1.2628936,1.2329291,1.2229031,1.2172204,1.0999845,1.0916423,1.0729339,1.0716375,1.0617006,1.0528941,1,1
