time,rain,water_1,water_2,water_3,flow_1,flow_2,flow_3,storage_1,storage_2,storage_3,inflow
2026-05-10 00:10:00,40.0,0.7092315,0.6998217,0.0,6.0,0.0,2.8909538,0.0,0.0,0.0,602.65796
2026-05-10 00:20:00,40.0,5.0,4.0,0.06478347,8.0,0.0,9.066631,0.0,0.0,0.0,3050.3394
2026-05-10 00:30:00,40.0,5.0,4.0,0.7630777,8.0,18.0,968.3101,0.0,0.0,0.0,4333.9565
2026-05-10 00:40:00,40.0,5.0,4.0,1.3813776,8.0,55.0,1289.7759,0.0,0.0,0.0,5105.628
2026-05-10 00:50:00,40.0,5.0,4.0,2.0,8.0,55.0,1445.9316,0.0,0.0,0.0,5701.7944
2026-05-10 01:00:00,40.0,5.0,4.0,2.0,8.0,55.0,1526.6565,0.0,0.0,0.0,6180.1265
2026-05-10 01:10:00,40.0,5.0,4.0,2.0,8.0,55.0,1571.0582,0.0,0.0,0.0,6562.042
2026-05-10 01:20:00,40.0,5.0,4.0,2.0,8.0,55.0,1593.7927,0.0,0.0,0.0,6863.0337
2026-05-10 01:30:00,40.0,5.0,4.0,2.0,8.0,55.0,1604.6873,0.0,0.0,0.0,7096.5557
2026-05-10 01:40:00,40.0,5.0,4.0,2.0,8.0,55.0,1609.0898,0.0,0.0,0.0,7274.919
2026-05-10 01:50:00,40.0,5.0,4.0,2.0,8.0,55.0,1610.2404,0.0,0.0,0.0,7409.295
2026-05-10 02:00:00,0.0,5.0,4.0,2.0,8.0,55.0,1610.7946,0.0,0.0,0.0,7509.409
2026-05-10 02:10:00,0.0,5.0,4.0,2.0,8.0,55.0,997.2678,0.0,0.0,0.0,3414.1252
2026-05-10 02:20:00,0.0,5.0,4.0,2.0,6.0,55.0,681.2802,0.0,0.0,0.0,2032.3151
2026-05-10 02:30:00,0.0,4.8286586,4.0,2.0,6.0,55.0,600.4288,0.0,0.0,0.0,1356.8912
2026-05-10 02:40:00,0.0,4.4584684,4.0,1.8925827,6.0,55.0,532.79205,0.0,0.0,0.0,965.9068
2026-05-10 02:50:00,0.0,3.2826018,3.0399237,1.7767614,6.0,55.0,475.19315,0.0,0.0,0.0,716.09753
2026-05-10 03:00:00,0.0,1.9515362,1.8161373,1.7024109,6.0,55.0,433.68848,0.0,0.0,0.0,546.0685
2026-05-10 03:10:00,0.0,1.2034765,1.1336488,1.6329768,6.0,55.0,400.26495,0.0,0.0,0.0,425.59018
2026-05-10 03:20:00,0.0,0.93153805,0.901457,1.5640157,6.0,55.0,361.05374,0.0,0.0,0.0,338.21494
2026-05-10 03:30:00,0.0,0.7625499,0.7570542,1.5141923,6.0,55.0,336.07004,0.0,0.0,0.0,272.79218
2026-05-10 03:40:00,0.0,0.65478253,0.6650119,1.4888926,6.0,55.0,321.47806,0.0,0.0,0.0,222.21802
2026-05-10 03:50:00,0.0,0.5539785,0.5744136,1.4548106,4.0,55.0,304.2358,0.0,0.0,0.0,182.47832
2026-05-10 04:00:00,0.0,0.52388525,0.5510199,1.4151291,4.0,55.0,283.9899,0.0,0.0,0.0,151.0649
2026-05-10 04:10:00,0.0,0.5022811,0.53398603,1.3617226,4.0,55.0,266.1952,0.0,0.0,0.0,126.403854
2026-05-10 04:20:00,0.0,0.4855308,0.52014995,1.2967231,4.0,55.0,254.83284,0.0,0.0,0.0,107.06683
2026-05-10 04:30:00,0.0,0.47190508,0.50845134,1.2227614,4.0,55.0,243.79898,0.0,0.0,0.0,91.34372
2026-05-10 04:40:00,0.0,0.45928994,0.49828413,1.1432228,4.0,55.0,224.46257,0.0,0.0,0.0,78.3382
2026-05-10 04:50:00,0.0,0.45081848,0.4894366,1.0595798,4.0,55.0,209.44267,0.0,0.0,0.0,67.92679
2026-05-10 05:00:00,0.0,0.44259614,0.48181054,0.9722839,4.0,55.0,201.14926,0.0,0.0,0.0,59.87424
2026-05-10 05:10:00,0.0,0.43603808,0.47547314,0.8811049,4.0,55.0,187.44746,0.0,0.0,0.0,54.568436
2026-05-10 05:20:00,0.0,0.43115786,0.47074562,0.7849829,4.0,55.0,173.28131,0.0,0.0,0.0,51.333237
2026-05-10 05:30:00,0.0,0.42879796,0.46853507,0.681903,4.0,55.0,164.95514,0.0,0.0,0.0,49.52188
2026-05-10 05:40:00,0.0,0.42762205,0.467303,0.5683232,4.0,55.0,148.47734,0.0,0.0,0.0,48.295288
2026-05-10 05:50:00,0.0,0.42646655,0.46621278,0.43507543,4.0,55.0,125.68904,0.0,0.0,0.0,47.233067
2026-05-10 06:00:00,0.0,0.42552036,0.46524596,0.27041087,4.0,55.0,99.34695,0.0,0.0,0.0,46.30795
2026-05-10 06:10:00,0.0,0.42463657,0.46438476,0.17708208,4.0,55.0,60.838207,0.0,0.0,0.0,45.497993
2026-05-10 06:20:00,0.0,0.42383918,0.46360868,0.16934676,2.0,55.0,50.371326,0.0,0.0,0.0,44.7854
2026-05-10 06:30:00,0.0,0.42310578,0.4629113,0.1664519,2.0,55.0,48.765816,0.0,0.0,0.0,44.15563
2026-05-10 06:40:00,0.0,0.42240793,0.4622856,0.1640128,2.0,55.0,47.63704,0.0,0.0,0.0,43.596695
2026-05-10 06:50:00,0.0,0.4219203,0.46172124,0.16190378,2.0,55.0,46.667603,0.0,0.0,0.0,41.943222
2026-05-10 07:00:00,0.0,0.4214,0.46121085,0.16010527,2.0,55.0,45.823544,0.0,0.0,0.0,41.585953
2026-05-10 07:10:00,0.0,0.42092776,0.46074805,0.15853113,2.0,55.0,45.08171,0.0,0.0,0.0,41.26525
2026-05-10 07:20:00,0.0,0.42049962,0.46032736,0.15712659,2.0,55.0,44.444027,0.0,0.0,0.0,40.976444
2026-05-10 07:30:00,0.0,0.4201062,0.45994258,0.1558607,2.0,55.0,43.883194,0.0,0.0,0.0,40.715565
2026-05-10 07:40:00,0.0,0.41974092,0.45958415,0.15471692,2.0,55.0,43.36905,0.0,0.0,0.0,40.479237
2026-05-10 07:50:00,0.0,0.41941136,0.45925933,0.15368102,2.0,55.0,42.91364,0.0,0.0,0.0,40.264565
2026-05-10 08:00:00,0.0,0.41907734,0.45896193,0.1527517,2.0,55.0,42.486584,0.0,0.0,0.0,40.069065
2026-05-10 08:10:00,0.0,0.41883662,0.45868874,0.15190856,4.0,55.0,42.12143,0.0,0.0,0.0,38.366528
2026-05-10 08:20:00,0.0,0.41858137,0.4584373,0.15114185,2.0,55.0,41.783775,0.0,0.0,0.0,37.2
2026-05-10 08:30:00,0.0,0.41834608,0.45820543,0.15044132,4.0,55.0,41.485126,0.0,0.0,0.0,37.2
2026-05-10 08:40:00,0.0,0.41812837,0.45799127,0.14979751,2.0,55.0,41.211025,0.0,0.0,0.0,37.2
2026-05-10 08:50:00,0.0,0.41792747,0.45779324,0.14921251,4.0,55.0,40.94774,0.0,0.0,0.0,37.2
2026-05-10 09:00:00,0.0,0.4177399,0.45760965,0.14867756,2.0,55.0,40.71792,0.0,0.0,0.0,37.2
2026-05-10 09:10:00,0.0,0.4175688,0.45743927,0.14818741,4.0,55.0,40.515797,0.0,0.0,0.0,37.2
2026-05-10 09:20:00,0.0,0.41740826,0.45728093,0.14773603,2.0,55.0,40.3172,0.0,0.0,0.0,37.2
2026-05-10 09:30:00,0.0,0.41725883,0.45713356,0.14732,2.0,55.0,40.135574,0.0,0.0,0.0,37.2
2026-05-10 09:40:00,0.0,0.41711962,0.45699623,0.14693195,4.0,55.0,39.961235,0.0,0.0,0.0,37.2
2026-05-10 09:50:00,0.0,0.4169897,0.45686805,0.14657769,2.0,55.0,39.818535,0.0,0.0,0.0,37.2
2026-05-10 10:00:00,0.0,0.41686836,0.4567483,0.14624347,4.0,55.0,39.67105,0.0,0.0,0.0,37.2
2026-05-10 10:10:00,0.0,0.4167548,0.45663625,0.1459372,2.0,55.0,39.545937,0.0,0.0,0.0,37.2
2026-05-10 10:20:00,0.0,0.41664848,0.45653132,0.14565064,2.0,55.0,39.423378,0.0,0.0,0.0,37.2
2026-05-10 10:30:00,0.0,0.41654882,0.4564329,0.14538711,2.0,55.0,39.314735,0.0,0.0,0.0,37.2
2026-05-10 10:40:00,0.0,0.41645527,0.45634052,0.14513934,2.0,55.0,39.20899,0.0,0.0,0.0,37.2
2026-05-10 10:50:00,0.0,0.41636735,0.4562537,0.14490995,2.0,55.0,39.114727,0.0,0.0,0.0,37.2
2026-05-10 11:00:00,0.0,0.41628462,0.45617205,0.14469647,2.0,55.0,39.001644,0.0,0.0,0.0,37.2
2026-05-10 11:10:00,0.0,0.41620666,0.45609513,0.14449897,2.0,55.0,38.932293,0.0,0.0,0.0,37.2
2026-05-10 11:20:00,0.0,0.41613325,0.45602262,0.14430448,4.0,55.0,38.84918,0.0,0.0,0.0,37.2
2026-05-10 11:30:00,0.0,0.41606227,0.45595247,0.14412726,2.0,55.0,38.773212,0.0,0.0,0.0,37.2
2026-05-10 11:40:00,0.0,0.41599497,0.45588595,0.14395869,2.0,55.0,38.696606,0.0,0.0,0.0,37.2
2026-05-10 11:50:00,0.0,0.41593137,0.45582306,0.14380665,2.0,55.0,38.642155,0.0,0.0,0.0,37.2
2026-05-10 12:00:00,0.0,0.4158712,0.4557636,0.14365505,2.0,55.0,38.560078,0.0,0.0,0.0,37.2
2026-05-10 12:10:00,0.0,0.41581425,0.45570728,0.14351755,2.0,55.0,38.500008,0.0,0.0,0.0,37.2
2026-05-10 12:20:00,0.0,0.41576028,0.4556539,0.14338695,4.0,55.0,38.448505,0.0,0.0,0.0,37.2
2026-05-10 12:30:00,0.0,0.41570908,0.4556033,0.143266,2.0,55.0,38.401215,0.0,0.0,0.0,37.2
2026-05-10 12:40:00,0.0,0.4156604,0.4555553,0.14314663,2.0,55.0,38.353146,0.0,0.0,0.0,37.2
2026-05-10 12:50:00,0.0,0.41561443,0.4555099,0.14304158,2.0,55.0,38.306717,0.0,0.0,0.0,37.2
2026-05-10 13:00:00,0.0,0.41557115,0.45546708,0.14293095,2.0,55.0,38.26029,0.0,0.0,0.0,37.2
2026-05-10 13:10:00,0.0,0.41552997,0.45542637,0.14283387,2.0,55.0,38.21722,0.0,0.0,0.0,37.2
2026-05-10 13:20:00,0.0,0.41549078,0.45538762,0.14274174,4.0,55.0,38.181633,0.0,0.0,0.0,37.2
2026-05-10 13:30:00,0.0,0.41545364,0.45535073,0.14265372,4.0,55.0,38.138718,0.0,0.0,0.0,37.2
2026-05-10 13:40:00,0.0,0.4154179,0.45531556,0.14256604,2.0,55.0,38.103622,0.0,0.0,0.0,37.2
2026-05-10 13:50:00,0.0,0.41538396,0.455282,0.1424877,2.0,55.0,38.070366,0.0,0.0,0.0,37.2
2026-05-10 14:00:00,0.0,0.41535166,0.45525,0.14241059,2.0,55.0,38.051018,0.0,0.0,0.0,37.2
2026-05-10 14:10:00,0.0,0.41531923,0.45521945,0.14233914,2.0,55.0,38.031036,0.0,0.0,0.0,37.2
2026-05-10 14:20:00,0.0,0.41529143,0.45519024,0.14227106,4.0,55.0,38.00506,0.0,0.0,0.0,37.2
2026-05-10 14:30:00,0.0,0.41526318,0.45516235,0.1422057,4.0,55.0,37.96423,0.0,0.0,0.0,37.2
2026-05-10 14:40:00,0.0,0.4152362,0.45513564,0.14214668,4.0,55.0,37.929802,0.0,0.0,0.0,37.2
2026-05-10 14:50:00,0.0,0.41521034,0.4551101,0.14211784,4.0,55.0,37.9181,0.0,0.0,0.0,37.2
2026-05-10 15:00:00,0.0,0.41518563,0.45508564,0.14212133,2.0,55.0,37.89566,0.0,0.0,0.0,37.2
2026-05-10 15:10:00,0.0,0.4151619,0.45506218,0.14212379,4.0,55.0,37.919235,0.0,0.0,0.0,37.2
2026-05-10 15:20:00,0.0,0.4151392,0.45503974,0.14209458,2.0,55.0,37.90904,0.0,0.0,0.0,37.2
2026-05-10 15:30:00,0.0,0.4151174,0.4550182,0.14206214,2.0,55.0,37.887093,0.0,0.0,0.0,37.2
2026-05-10 15:40:00,0.0,0.41509652,0.45499754,0.1420174,2.0,55.0,37.887314,0.0,0.0,0.0,37.2
2026-05-10 15:50:00,0.0,0.41507646,0.4549777,0.14197272,2.0,55.0,37.86446,0.0,0.0,0.0,37.2
2026-05-10 16:00:00,0.0,0.41505718,0.45495865,0.14194265,2.0,55.0,37.85473,0.0,0.0,0.0,37.2
2026-05-10 16:10:00,0.0,0.41503868,0.45494035,0.14189436,2.0,55.0,37.826378,0.0,0.0,0.0,37.2
2026-05-10 16:20:00,0.0,0.4150209,0.45492274,0.14185986,2.0,55.0,37.808655,0.0,0.0,0.0,37.2
2026-05-10 16:30:00,0.0,0.41500378,0.45490584,0.1418166,4.0,55.0,37.7994,0.0,0.0,0.0,37.2
2026-05-10 16:40:00,0.0,0.41498733,0.45488954,0.14178225,2.0,55.0,37.77405,0.0,0.0,0.0,37.2
2026-05-10 16:50:00,0.0,0.4149715,0.4548739,0.14174877,4.0,55.0,37.763786,0.0,0.0,0.0,37.2
2026-05-10 17:00:00,0.0,0.41495624,0.4548588,0.14170913,2.0,55.0,37.73642,0.0,0.0,0.0,37.2
2026-05-10 17:10:00,0.0,0.41494155,0.45484427,0.1416795,4.0,55.0,37.72284,0.0,0.0,0.0,37.2
2026-05-10 17:20:00,0.0,0.4149274,0.4548303,0.14165282,2.0,55.0,37.729885,0.0,0.0,0.0,37.2
2026-05-10 17:30:00,0.0,0.41491374,0.4548168,0.14162183,2.0,55.0,37.71548,0.0,0.0,0.0,37.2
2026-05-10 17:40:00,0.0,0.41490057,0.45480376,0.14158899,4.0,55.0,37.682262,0.0,0.0,0.0,37.2
2026-05-10 17:50:00,0.0,0.4148879,0.45479122,0.14156191,2.0,55.0,37.677597,0.0,0.0,0.0,37.2
2026-05-10 18:00:00,0.0,0.41487566,0.45477912,0.14153808,4.0,55.0,37.68415,0.0,0.0,0.0,37.2
2026-05-10 18:10:00,0.0,0.41486382,0.4547674,0.14151247,2.0,55.0,37.675346,0.0,0.0,0.0,37.2
2026-05-10 18:20:00,0.0,0.4148524,0.4547561,0.1414871,2.0,55.0,37.663048,0.0,0.0,0.0,37.2
2026-05-10 18:30:00,0.0,0.41484138,0.4547452,0.14146325,2.0,55.0,37.649036,0.0,0.0,0.0,37.2
2026-05-10 18:40:00,0.0,0.4148307,0.45473465,0.1414354,4.0,55.0,37.631397,0.0,0.0,0.0,37.2
2026-05-10 18:50:00,0.0,0.4148204,0.45472446,0.14141536,2.0,55.0,37.619686,0.0,0.0,0.0,37.2
2026-05-10 19:00:00,0.0,0.41481045,0.45471463,0.14138772,2.0,55.0,37.61923,0.0,0.0,0.0,37.2
2026-05-10 19:10:00,0.0,0.41480082,0.4547051,0.14137182,2.0,55.0,37.605644,0.0,0.0,0.0,37.2
2026-05-10 19:20:00,0.0,0.4147915,0.45469588,0.14137208,4.0,55.0,37.5919,0.0,0.0,0.0,37.2
2026-05-10 19:30:00,0.0,0.41478246,0.45468694,0.14135683,4.0,55.0,37.59615,0.0,0.0,0.0,37.2
2026-05-10 19:40:00,0.0,0.41477373,0.4546783,0.14134143,4.0,55.0,37.595734,0.0,0.0,0.0,37.2
2026-05-10 19:50:00,0.0,0.41476527,0.45466992,0.14132532,4.0,55.0,37.593727,0.0,0.0,0.0,37.2
2026-05-10 20:00:00,0.0,0.41475707,0.45466182,0.14130734,4.0,55.0,37.5782,0.0,0.0,0.0,37.2
2026-05-10 20:10:00,0.0,0.41474912,0.45465395,0.14129516,2.0,55.0,37.575333,0.0,0.0,0.0,37.2
2026-05-10 20:20:00,0.0,0.41474143,0.45464635,0.14127925,4.0,55.0,37.555714,0.0,0.0,0.0,37.2
2026-05-10 20:30:00,0.0,0.41473395,0.45463896,0.14126033,2.0,55.0,37.54938,0.0,0.0,0.0,37.2
2026-05-10 20:40:00,0.0,0.4147267,0.4546318,0.1412433,2.0,55.0,37.551525,0.0,0.0,0.0,37.2
2026-05-10 20:50:00,0.0,0.4147197,0.45462486,0.14122988,2.0,55.0,37.537945,0.0,0.0,0.0,37.2
2026-05-10 21:00:00,0.0,0.41471288,0.45461813,0.14121689,2.0,55.0,37.547806,0.0,0.0,0.0,37.2
2026-05-10 21:10:00,0.0,0.41470626,0.45461157,0.14120233,2.0,55.0,37.534786,0.0,0.0,0.0,37.2
2026-05-10 21:20:00,0.0,0.41469985,0.45460522,0.14118741,2.0,55.0,37.53803,0.0,0.0,0.0,37.2
2026-05-10 21:30:00,0.0,0.41469362,0.45459905,0.14117728,2.0,55.0,37.519825,0.0,0.0,0.0,37.2
2026-05-10 21:40:00,0.0,0.41468754,0.45459306,0.14115998,2.0,55.0,37.511784,0.0,0.0,0.0,37.2
2026-05-10 21:50:00,0.0,0.41468167,0.45458725,0.14114629,4.0,55.0,37.51655,0.0,0.0,0.0,37.2
2026-05-10 22:00:00,0.0,0.41467595,0.4545816,0.14113334,2.0,55.0,37.511616,0.0,0.0,0.0,37.2
2026-05-10 22:10:00,0.0,0.4146704,0.4545761,0.14112261,2.0,55.0,37.514828,0.0,0.0,0.0,37.2
2026-05-10 22:20:00,0.0,0.414665,0.45457074,0.14111084,2.0,55.0,37.51112,0.0,0.0,0.0,37.2
2026-05-10 22:30:00,0.0,0.41465974,0.45456555,0.14110069,2.0,55.0,37.50717,0.0,0.0,0.0,37.2
2026-05-10 22:40:00,0.0,0.41465464,0.4545605,0.14108959,4.0,55.0,37.48825,0.0,0.0,0.0,37.2
